cleaned_text,target,token_length
communalviolenceinbhainsatelanganastoneswerepeltedonmuslimshousesandsomehousesandvehiclesweresetablaze,1,1
telanganasectionhasbeenimposedinbhainsafromjanuarytoafterclasheruptedbetweentwogroupsonjanuarypo,1,1
arsonistsetscarsablazeatdealershiphttpstcogoqvyjbpvi,1,1
arsonistsetscarsablazeatdealershiphttpstcoglnucplbhttpstcouccbhowh,1,1
lordjesusyourlovebringsfreedomandpardonfillmewithyourholyspiritandsetmyheartablazewithyourlhttpstcovltznnpni,0,1
ifthischildwaschinesethistweetwouldhavegoneviralsocialmediawouldbeablazesnlwouldhavemadearacistj,0,1
severalhouseshavebeensetablazeinngemsibaavillageokusubdivisioninthenorthwestregionofcameroonbyhttpstcouhgazxy,1,1
asansolabjpofficeinsalanpurvillagewassetablazelastnightbjphasallegedthattmcisbehindtheincidentpolicehasb,1,1
nationalsecurityministerkandapaahssidechichassettheinternetablazewithherlatestpowerfulvideohttpstcorhzomqvslj,0,1
thiscreaturewhoissoulisnolongerclarentbutblueablazethisthingcarryingmemoriesmemoriesofhttpstcotbksndrdox,0,1
imagesshowingthehavoccausedbythecameroonmilitaryastheytorchedhousesinokutheshamelessmilitaryisreported,1,1
socialmediawentbananasafterchubahubbardannouncedmondayeveninghisplanstoreturntookstatehttpstcopen,0,1
hausayouthssetareaofficeofapapaiganmulocalcouncildevelopmentareaablazeokadaridersstormedthelgareaoffice,1,1
undermamatabanerjeepoliticalviolenceampvandalismcontinuestounabatedinwestbengalofficeinasanolwas,1,1
amensetthewholesystemablazemanhttpstcojxhdcgbd,0,1
imagesshowingthehavoccausedbythecameroonmilitaryastheytorchedhousesinokutheshamelessmilitaryishttpstcogiwzchd,1,1
nocowstodaybutourlocalfactoryissadlystillablazeredjanuaryhttpstcocmyukzrckz,1,1
rengokusetsmyheartablazepsimissedthisstyleofcoloringidosohereitischttpstcoyrufgs,0,1
paulzizkaphotorundleablazewishingyouallagoodeveninghttpstcodnlmehqzhttpstcohlvltqiip,0,1
frenchcamerounsethousesablazeinnduandroastedtwoyoungboysintheirhomesintargetedkillingsinagenocideinsou,1,1
cameroonsbirsoldiersontheinvadedthesoutherncameroonsvillageofkimarsosettingablazeatotalof,1,1
asfiresablazethroughoutthelandastheprophosizedapocalypsecomestofruitionnotabuildingstandingasweallcomest,1,1
thankfultuesdayisaiahwhenyoupassthroughthewatersiwillbewithyouandwhenyoupassthroughtherhttpstcojeplou,0,1
whenyouwalkthroughthefireyouwillnotbescorchedandtheflameswillnotsetyouablazeproduct,0,1
originallytheywereintendedtobefiredatboardersortheopposingshipscrewfromgunnersintheshipssriggihttpstcozvpwuybcl,1,1
warmgreetingstoallontheoccasionoflohriaswinterpassesbymayeveryoneiswoesandtroublesbesetablazeint,0,1
anotherarsoninnjikomboyonwrtheambazombiesyesterdaysetablazethecouncilbuildingwhichcountryinthewo,1,1
anotherpublicmarketinhaitimysteriouslysetablazetheindependentmerchantswhoareoverwhelminglywomenbecome,1,1
thatiskindtruesadly,0,1
iswearthatjamwillsettheworldablaze,0,1
marivankurdistanprovincemondayjanthprotesterssetthepropagandabannerofqassemsoleimaniablazei,1,1
marivankurdistanprovincemondayjanthprotesterssetthepropagandabannerofqassemsoleimaniablazehttpstcoivgcyjzlmk,1,1
howcanyouturnablindeyetotheicidentofsettingablazemorethanhousesofhhttpstcoudoqxgk,1,1
thisloveissocompletelycrazyyouhavebeenfuckingwithmydreamsrippedmelikeyourtornupjeansidonotevhttpstcogcvywezkb,0,1
termsinademonburningdarktheruinedpeoplewhocannotusemagicorinteractwithitwithoutsomeharmorachttpstcozedawofuu,0,1
heartfeltappreciationtoprimeministeryabtundrwifeyabhgtundrsitihasmahmohdalifohttpstcoyowupbyup,0,1
watchformercmakhileshyadavwhowenttomeetinjuredofkannaujaccidentatahospitalinchhibramauasksemergencymed,1,1
hegaveuseverythinghehadahorriblefootinfectiononcesoworeonethonghttpstcomasflshw,0,1
yeahhisnewswagisonpointsincetheaccidentlikethisisatotallytransformedbob,0,1
thisiscoolandallthesedaysihavebeendoinggitpushorigincurrentbranchnameyouknowthathttpstcomryagewqj,0,1
preordernewreleasetodaywitnessesconnectedtoorinvestigatingthenutcrackerconspiracyhavediedeitherina,1,1
mybackandneckarestillfuckedupfromtheaccident,0,1
rtprinceharryjustconfirmedthathismothersprincessdianadeathwasnotanaccidenthttpstcoadeuzer,1,1
notetodemocratsitisnotamuslimbanislamisnotaracesoleimaniwasaterroristampwasexterminatednotassas,0,1
juwanjohnsonoregonisonebigdudelookslikeatightendstuckinthereceivergroupbyaccident,0,1
moreappearancesofthemanwiththeupsidedownfaceanewyearsevepartyatanairforcebaseinwhereaman,0,1
thespeedingcarrammedintoagroupofpeoplewhowerereturningafterattendingatemplefestivalofayyappankavuinthum,1,1
